phi* range, Data, MadGraph 2ZStar, POWHEG 2ZStar, POWHEG Tunepp 14, POWHEG Tunepp5 
0-0.004, 9.28777+/-0.0761597, 9.01411+/-0.0239678, 8.23632+/-0.0523352, 9.58727+/-0.0603998, 9.63794+/-0.060719
 0.004-0.008, 9.12114+/-0.0848266, 8.85889+/-0.0237714, 8.25726+/-0.052389, 9.59231+/-0.0604316, 9.64079+/-0.060737
 0.008-0.012, 8.88562+/-0.0879676, 8.75908+/-0.0235779, 8.09766+/-0.0525808, 9.28278+/-0.0603381, 9.51931+/-0.0618755
 0.012-0.016, 8.68369+/-0.089442, 8.61115+/-0.0233981, 7.97074+/-0.0517635, 9.13861+/-0.0594009, 9.04761+/-0.0588095
 0.016-0.02, 8.51421+/-0.0757765, 8.41612+/-0.0231308, 7.7883+/-0.0508876, 8.82001+/-0.05733, 8.72493+/-0.056712
 0.02-0.024, 7.95304+/-0.0763492, 8.10077+/-0.0226508, 7.74895+/-0.0506071, 8.57904+/-0.0557638, 8.61768+/-0.0560149
 0.024-0.029, 7.7477+/-0.0705041, 7.7794+/-0.0198844, 7.48484+/-0.044603, 8.00778+/-0.0480467, 8.12416+/-0.0487449
 0.029-0.034, 7.23423+/-0.0607675, 7.36873+/-0.0193198, 7.21932+/-0.043444, 7.72466+/-0.046348, 7.70276+/-0.0462166
 0.034-0.039, 6.81243+/-0.0599494, 6.92525+/-0.0187179, 6.86954+/-0.0423353, 7.23103+/-0.0448324, 7.02094+/-0.0435298
 0.039-0.045, 6.32983+/-0.0487397, 6.47982+/-0.0165218, 6.53456+/-0.0377532, 6.56896+/-0.0381, 6.54551+/-0.037964
 0.045-0.052, 5.79582+/-0.0446278, 5.96542+/-0.0146563, 6.12323+/-0.0337171, 5.95029+/-0.0327266, 5.90872+/-0.032498
 0.052-0.057, 5.31889+/-0.0526571, 5.45353+/-0.0165703, 5.66332+/-0.0383745, 5.43719+/-0.0369729, 5.4523+/-0.0370756
 0.057-0.064, 4.8653+/-0.039409, 5.06661+/-0.0134985, 5.27506+/-0.0313497, 5.04749+/-0.030285, 4.98784+/-0.029927
 0.064-0.072, 4.46643+/-0.0348382, 4.56514+/-0.0119823, 4.80288+/-0.0282313, 4.5567+/-0.0268845, 4.49154+/-0.0265001
 0.072-0.081, 4.00906+/-0.0308698, 4.0858+/-0.0106876, 4.37584+/-0.024946, 4.01052+/-0.02286, 4.00345+/-0.0228196
 0.081-0.091, 3.55242+/-0.0266432, 3.63983+/-0.00957227, 3.89523+/-0.0222725, 3.5272+/-0.020105, 3.57653+/-0.0203862
 0.091-0.102, 3.15433+/-0.0239729, 3.19193+/-0.00854574, 3.38039+/-0.0204395, 3.13945+/-0.0191506, 3.14198+/-0.0191661
 0.102-0.114, 2.81269+/-0.0219389, 2.79523+/-0.00766398, 2.96109+/-0.0178554, 2.70676+/-0.0162406, 2.71122+/-0.0162673
 0.114-0.128, 2.40649+/-0.0182893, 2.42597+/-0.00661298, 2.5495+/-0.0154713, 2.32671+/-0.0141929, 2.36132+/-0.0144041
 0.128-0.145, 2.08856+/-0.0158731, 2.0789+/-0.00556085, 2.14498+/-0.0128572, 1.99677+/-0.0119806, 1.99196+/-0.0119518
 0.145-0.165, 1.74765+/-0.014156, 1.73005+/-0.00467925, 1.75394+/-0.0108704, 1.67447+/-0.0103817, 1.68918+/-0.0104729
 0.165-0.189, 1.42329+/-0.010817, 1.40615+/-0.00385126, 1.43776+/-0.00906704, 1.36935+/-0.00876381, 1.38107+/-0.00883888
 0.189-0.219, 1.14051+/-0.0086679, 1.12097+/-0.00307684, 1.14031+/-0.0073395, 1.09198+/-0.00709788, 1.11182+/-0.00722683
 0.219-0.258, 0.874072+/-0.00664294, 0.855418+/-0.00236111, 0.877033+/-0.00551829, 0.840813+/-0.00529712, 0.849211+/-0.00535003
 0.258-0.312, 0.631787+/-0.00467523, 0.621655+/-0.00171057, 0.634799+/-0.00397923, 0.611137+/-0.00385017, 0.598344+/-0.00376957
 0.312-0.391, 0.427881+/-0.00320911, 0.416671+/-0.00115751, 0.419551+/-0.00275391, 0.407121+/-0.00264629, 0.404286+/-0.00262786
 0.391-0.524, 0.246633+/-0.00199773, 0.242109+/-0.000681408, 0.242899+/-0.00167414, 0.227966+/-0.00152737, 0.229807+/-0.0015397
 0.524-0.695, 0.130375+/-0.0012516, 0.127068+/-0.000433771, 0.122353+/-0.00100337, 0.118087+/-0.000956504, 0.118352+/-0.000958654
 0.695-0.918, 0.0662977+/-0.000808831, 0.0635451+/-0.000268303, 0.0601635+/-0.000655347, 0.0577088+/-0.000605942, 0.0582048+/-0.00061115
 0.918-1.153, 0.0346699+/-0.00057552, 0.0330465+/-0.000188391, 0.0300444+/-0.000458837, 0.0298436+/-0.000438702, 0.0285129+/-0.00041914
 1.153-1.496, 0.0177461+/-0.000333626, 0.0174167+/-0.000113187, 0.0150895+/-0.000274294, 0.0151558+/-0.000263711, 0.0155063+/-0.00026981
 1.496-1.947, 0.0081763+/-0.000191325, 0.00864955+/-6.95157e-05, 0.00701283+/-0.000155272, 0.00797643+/-0.000171493, 0.00750849+/-0.000161433
 1.947-2.522, 0.00413218+/-0.000123552, 0.0041963+/-4.28843e-05, 0.00339918+/-9.69175e-05, 0.0041241+/-0.000113825, 0.00372371+/-0.000102774
 2.522-3.277, 0.00205038+/-7.46338e-05, 0.00210958+/-2.65262e-05, 0.00181383+/-6.06971e-05, 0.00213665+/-6.96548e-05, 0.00194594+/-6.34375e-05
 
